timestamp,percent
2026-03-07T17:00:24.791577,49
2026-03-07T17:10:39.544218,50
2026-03-07T17:35:15.951648,50
2026-03-07T17:50:06.217651,51
2026-03-07T17:58:03.542877,52
2026-03-07T18:26:46.740830,47
2026-03-07T18:54:27.347281,48
2026-03-07T19:11:56.581611,49
2026-03-07T19:31:52.235371,48
2026-03-07T19:44:44.993743,51
2026-03-07T19:53:24.090834,51
2026-03-07T19:58:46.484209,50
2026-03-07T20:21:34.076360,51
2026-03-07T20:43:51.342952,59
2026-03-07T20:56:40.968875,55
2026-03-07T21:13:28.174423,57
2026-03-07T21:34:13.142083,48
2026-03-07T21:47:01.272728,34
2026-03-07T21:55:04.991428,15
2026-03-07T22:00:44.338708,1
2026-03-07T22:26:06.067153,0
2026-03-07T22:45:36.581938,0
2026-03-07T22:57:46.021344,0
2026-03-07T23:16:58.347603,0
2026-03-07T23:37:33.346116,0
2026-03-07T23:51:04.905778,0
2026-03-07T23:58:47.009884,0
2026-03-08T01:52:28.924000,0
2026-03-08T03:58:12.022389,0
2026-03-08T05:07:36.005308,0
2026-03-08T05:54:43.065317,0
2026-03-08T06:26:46.953335,0
2026-03-08T07:05:36.428792,0
2026-03-08T07:38:58.487363,0
2026-03-08T07:54:06.094205,0
2026-03-08T08:01:32.382647,0
2026-03-08T08:37:09.864608,0
2026-03-08T08:58:34.515714,0
2026-03-08T09:26:12.177828,0
2026-03-08T09:49:47.334251,0
2026-03-08T10:00:35.017432,0
2026-03-08T10:27:36.020131,0
2026-03-08T10:48:53.322638,0
2026-03-08T11:00:20.015945,0
2026-03-08T11:21:58.861889,0
2026-03-08T11:39:23.078769,0
2026-03-08T11:51:00.376846,0
2026-03-08T11:58:14.854590,0
2026-03-08T12:38:27.066142,0
2026-03-08T13:25:51.865153,0
2026-03-08T13:53:52.436279,1
2026-03-08T14:12:50.781001,10
2026-03-08T14:40:56.866862,21
2026-03-08T14:56:10.293038,28
2026-03-08T15:14:26.700248,30
2026-03-08T15:37:47.590897,32
2026-03-08T15:50:59.626953,31
2026-03-08T15:59:49.434992,31
2026-03-08T16:28:35.839121,32
2026-03-08T16:51:27.096892,32
2026-03-08T17:11:16.705358,33
2026-03-08T17:37:06.054079,35
2026-03-08T17:52:58.830157,38
2026-03-08T18:00:24.440142,40
2026-03-08T18:36:27.245044,44
2026-03-08T19:00:14.866026,53
2026-03-08T19:24:31.956774,59
2026-03-08T19:41:07.932371,63
2026-03-08T19:52:03.436892,65
2026-03-08T19:58:30.788207,65
2026-03-08T20:21:34.236280,57
2026-03-08T20:44:46.848338,41
2026-03-08T20:58:12.002343,12
2026-03-08T21:18:38.309056,1
2026-03-08T21:39:58.469291,0
2026-03-08T21:52:33.026214,0
2026-03-08T21:59:50.450564,0
2026-03-08T22:23:33.753267,0
2026-03-08T22:45:16.839219,0
2026-03-08T22:58:00.218795,0
2026-03-08T23:18:38.074749,0
2026-03-08T23:41:22.519750,0
2026-03-08T23:55:15.986940,0
2026-03-09T00:59:11.062838,0
2026-03-09T03:32:58.436212,0
2026-03-09T05:09:27.565117,0
2026-03-09T06:09:35.391455,0
2026-03-09T07:15:44.899260,0
2026-03-09T07:57:29.860395,0
2026-03-09T08:36:36.963642,0
2026-03-09T09:29:42.124982,0
2026-03-09T10:12:02.433772,10
2026-03-09T11:02:13.362878,19
2026-03-09T11:38:21.200046,22
2026-03-09T12:00:04.600465,25
2026-03-09T13:04:45.621570,28
2026-03-09T14:11:14.623186,33
2026-03-09T15:08:39.351278,48
2026-03-09T16:09:35.981524,48
2026-03-09T17:07:10.886425,50
2026-03-09T17:56:13.980169,51
2026-03-09T18:37:47.600070,62
2026-03-09T19:26:17.709786,70
2026-03-09T19:56:02.910220,75
2026-03-09T20:21:28.133644,71
2026-03-09T20:54:40.742924,72
2026-03-09T21:19:51.719587,71
2026-03-09T21:49:11.031730,67
2026-03-09T22:02:33.934315,63
2026-03-09T22:37:05.340930,65
2026-03-09T22:58:28.193474,59
2026-03-09T23:23:52.306546,66
2026-03-09T23:46:28.639615,67
2026-03-09T23:58:02.675342,67
2026-03-10T01:26:19.853825,41
2026-03-10T03:36:42.375108,0
2026-03-10T04:59:03.264648,0
2026-03-10T05:43:19.818645,0
2026-03-10T06:29:17.002789,0
2026-03-10T07:13:13.023770,0
2026-03-10T07:54:50.716529,0
2026-03-10T08:25:01.798239,0
2026-03-10T09:05:05.168919,0
